ungligur	Samheiti:dreingjarligur,gentuligur,ungsintur(yngdur)uppafturyngdur,uppyngdurungur í sál og sinn(i);ungur í sinni;sum ein ungdómur;við ungum sinnalag;□hann ber aldurin, seg væl;hann eldist ikki, heldur seg ungan, sær ungur út, tykist ungur;hann eldist sum ørnin t.e. eldist væl;hann er uppafturyngdur, uppyngdur, yngdur upp, yngdur uppaftur;hann sær út sum ein fríggjari, konfirmantur, ungdómur;hon sær út sum ein fríggjarapíka;tað sæst ikki aldur á honum, ikki høgg á føti↔barnaár,fríðkast,tilkomin,ungurAndheiti:aldrandi
unglingaár	síbarnaár
unglingablað	sískriv
unglingafjøld	síbarn
unglingalið	símanning
unglingasinni	sísinnalag
unglingaskúli	sískúli
unglingi	síbarn
unglingur	síbarn
unglomvigi	sífuglur
unglundi	sífuglur
ungmaður	síbarn,sjómaður
ungmannaarbeiði	síarbeiði
ungmannaár	síbarnaár
ungmannafelag	sífelag
ungmannafelagsfundur	sífundur
ungmannafelagslív	sígerandislív
ungmannafjøld	síbarn
ungmannafundur	sífundur
ungmenni	síbarn
ungmoy	síbarn,kvinna
ungmoyggj	síbarn,kvinna
ungneyt	síneyt
ungross	síross
ungsintur	síungligur
