r	síjavnstrokin
reiðaravirki	síreiðarí
reiðari	síreiðarí,vaktari
reiðarí	Samheiti:partsreiðarí,reiðaravirki,skipafelag,útgerð,útgerðarfelag,útgerðarvirki(reiðari)partsreiðari,útgerðarmaður
reiðarklæddur	sítilbúgvin
reiðast	síilskast
reiðgøta	síkoyrivegur
reiði	síamboð,mastrartog,vreiði
reiðiliga	síheiðurligur,ógvuliga,ríkiliga
reiðiligur	síheiðurligur
reiðimikil	sívreiður
reiðing	síbering
reiðingarrás	síkoyrivegur
reiðingarross	síross
reiðlið	síherlið
reiðmaður	síríðingarmaður
reiðran	sídrál
reiðrarhestur	síross
reiðrarleypur	síkassi
reiðrarungi	síótangi
reiðrarvegur	síkoyrivegur,strekki
reiðrast	síførka,nørast
reiðregg	síegg
reiðrhestur	síross
reiðring	sídrál
reiðskapur	síamboð,kallskøp
reiðsla	síbering,byrði
reiðslubarn	sívaktari
reiðsludrongur	sívaktari
reiðsluveður	sígóðveður
reiðsluvegur	síkoyrivegur,strekki
reiðuliga	síheiðurligur,ógvuliga,ríkiliga
reiðuligur	síheiðurligur
reiðupeningur	sípeningur
reiður	síavvarðandi,bústaður,vreiðurSamheiti:arnarreiður,álkubøli,álkuhol,baksreiður,búrók,bøli,dúgvuhol,eyga,fuglapláss,fuglarók,gásabøli,hola,hønureiður,høsnareiður,krákureiður,láarreiður,likkubøli,likkureiður,lírahola,lomvigaeyga,lomvigahol,lomvigareyga,lomvigarók,lomvigaspor,lundahola,lundaland,lundapláss,lundasetur,lundaskor,lundatorva,lundaurð,ravnabøli,ravnsreiður,ritureiður,riturók,skarvabøli,skarvaurð,skrápsbøli,skrápshola,skrápssmog,spósreiður,starahola,starareiður,súlusetur,teistahola,ternubøli,ternureiður,ternuvarp,tjaldursreiður,varp,æðureiður,æðuvarp(rottureiður)harusetur,híð,hola,músahola,músareiður,rottuhola↔rók
reiðuviðbót	síískoyti
reiggiband	síband
reiggingarband	síband
reiggj	síherðindi(r),veipan
reiggja	sífleyga,førka
reiggjuband	síband
reik	sígonga
reika	síferðast,ganga,kemba
reikan	sígonga
reikandi	síheimleysur
reiking	sígonga,hár
reikur	síhár,stingur
reim	síbakki,band,mark,miðjuband,slintra
reimaepli	síepli
reimavelta	síjarðarstykki
