barn	sískyldfólkSamheiti:alipisa,alvi,arvi,arvingi,arvingur,avkom,avkomi,ársungi,barnakind,barnsungi,blæubarn,boppubarn,boppudólgur,bóndabarn,bróstabarn,burður,bøllingur,dagrøktarbarn,deyðburður,einburi,fosturbarn,fostursystkin,fríggjadagsbarn,fríggjadagsfoli,glunti,gluntur,grell,grellungi,havingarbarn,hálvóviti,hjúnabarn,hvítvæðingur,høkubarn,ígangur,íkoma,kind,knas,konfirmantur,koppabarn,køplingur,køppur,langafríggjadagsbarn,leikabarn,lesingarbarn,lestrarbarn,mannabarn,mansbarn,málloysingur,miðlingabarn,nýføðingur,ómáli,ómálingur,óvitabarn,óviti,pikkubarn,pinkubarn,pisa,pýggi,pýggj,reivabarn,reivlingur,skúlabarn,smábarn,smágrell,smáhark,smáknas,smákras,sogubarn,spillikokkur,spælibarn,stjúkbarn,tannáringur,trygdarbarn,tøkubarn,undurbarn,ungdómur,ungfólk,ungmannafjøld,urðargrell,vøggubarn,vøggustovubarn,ættleiðingur(drongur)ba,beiggi,boysur,bóndi,bygdardrongur,daddudrongur,daddusonur,dreingjabarn,dreingjaóviti,dúnungi,døllur,einkjusonur,fosturbróðir,fostursonur,fríggjari,klokkupiltur,knektur,lesingardrongur,lestrardrongur,lítli,lítlibeiggi,lítlin,lítlingi,óvitadrongur,piltur,sjeikur,skúladrongur,sleppingur,smádrongur,smágarpur,smápiltur,smásveinur,son,sonur,stjúksonur,svein,sveinbarn,sveinsbarn,sveinur,unglingi,unglingur,ungmaður,ungmenni(genta)bygdargenta,deiga,didda,dukka,dukkubarn,dukkudidda,fostra,fosturdóttir,fostursystir,gella,gentubarn,gentuhviril,gentuóviti,lesingargenta,lestrargenta,lítlasystir,moybarn,óvitagenta,peikustoyla,pinka,píka,purka,skúlagenta,smágenta,snøkil,stjúkdóttir,telpa,ungmoy,ungmoyggj(eitt) lítið;hálvur óviti;hin fyrstaføddi;lítla systir;lítli beiggi;nýborið, nýføtt barn;skilgitið barn;útsett barn;ættleitt barn;tað unga fólkið;tey ungu;unga ættin;ungdómur(in) fyrr, nú;uppvaksandi ættarlið↔aldrandi,barnaár,byrjari,kvinna,persónur,skyldfólk
barna	sítvílívað
barnaár	Samheiti:barnadagar,barndómsár,barndómsdagar,barndómur,barnsár,barnsdagar,broytingaraldur,búningartíð,ótangaár,óvitaár,óvitadagar,skúlaaldur,uppvakstrartíð,uppvøkstur,yngdungur aldur(ungdómsár)fermingaraldur,giftingaraldur,kynbúningaraldur,lógaldur,manndómsár,manndómur,menningarár,ungdómsblómi,ungdómslív,ungdómur,unglingaár,ungmannaár,valaldur,valrættaraldur(starvsaldur)lønaraldur,starvsár,starvstíð(broytingarár)skiftisár↔aldrandi,barn,eldast,ellisár,tilkomin,ungligur
barnabarn	sískyldfólk
barnabíblia	sískriv
barnablað	sískriv
barnabók	sískriv
barnabókasavn	sígoymsla
barnabókmentir	síbókaheimur
barnabundin	sídarvaður,ótøkur
barnadagar	síbarnaár
barnadansur	sídansur
barnadeyði	sídeyði
barnadópur	sídópur
barnaeydna	síeydna
barnaferð	síføðing
barnafjas	síbarnaskapur
barnafrádráttur	sífrádráttur,hjálp
barnagaman	sístuttleiki
barnagarðslærari	sífosturmóðir
barnagenta	sífosturmóðir
barnagleimur	sístuttleiki
barnagrátur	sígrátur
barnaheim	síbústaður
barnahjálpargrunnur	sígrunnur
barnahoyggj	síhoyggj
barnakennari	sífosturmóðir,lærarafólk
barnakind	síbarn
barnaklæði(r)	síklæði(r)
barnakona	síkvinna
barnakór	sísangari
barnalamni	sílammilsi
barnalamningur	sílammilsi
barnaleikur	sístuttleiki
barnalótir	síbarnaskapur
barnalærari	sífosturmóðir,lærarafólk
barnalærdómur	sílærdómur
barnamamma	símóðir
barnamál	sírødd,tungumál
barnaminni	síminning
barnamóðir	símóðir
barnapeningur	síavgjald
barnaríma	sísangur
barnarødd	sírødd
barnasár	sísár
barnasending	sísending
barnasjúka	sísjúka
barnaskapur	Samheiti:barnafjas,barnalótir,barnskapur,óvit,óvitalótir,óvitaskapur,óvitskabarnslig medferð, barnsligur atburður;□e-t verður gjørt í barnskapi, óvitaskapi o.fl.↔býttisskapur,býttlingur,dáragerð,fjákast,møsn,tápuligur,ungur,vansketniAndheiti:klókskapur
barnaskírn	sídópur
barnaskjaldur	sísangur
barnaskúli	sískúli
barnasong	síseingjarstaður
barnaspæl	sístuttleiki
barnast	sítvílívað
barnastudningur	síhjálp
barnastyrkur	síhjálp
barnasøga	sífrásøgn
barnatal	sííbúgvi,uppreksan,yvirlit
barnatonn	sítonn
barnatrúgv	síátrúni,góðtrúni
barnatryggja	sítryggja
barnatryggur	sítryggur
barnauppalari	sífosturmóðir
barnauppaling	síuppfostran
barnauppfostran	síuppfostran
barnavanlukkutrygging	sítrygging
barnavernd	sívernd
barnaviðbót	síavgjald
barnavinur	sívinur
barnburður	sítilkomin
barndómsár	síbarnaár
barndómsdagar	síbarnaár
barndómsheim	síbústaður
barndómshús	síbústaður
barndómsland	síheimland
barndómsminni	síminning
barndómsvinkona	sívinur
barndómsvinur	sívinur
barndómur	síbarnaár
barndømi	síørvitisskapur
barnfaðir	sípápi
barnferð	síføðing
barnfostra	sífosturmóðir
barnførur	sítilkomin
barngóður	sígóðsintur
barnkærur	sígóðsintur
barnleysur	síeinsamallur,geldur
barnligur	sítápuligur
barnsár	síbarnaár
barnsburðarfarloyvi	sífrítíð
barnsburður	síføðing,tilkomin
barnsdagar	síbarnaár
barnsferð	síføðing
barnsjúk	sísjúkur
barnskapur	síbarnaskapur
barnsleiði	sígrøv
barnsliga	síóskilaliga
barnsligur	sítápuligur
barnsneyð	sípína
barnsótt	sípína
barnsungi	síbarn
barnsverkir	sípína
barnsøl	sídópur
barntøka	síuppfostran
barnvaksin	síuppalin
barnvándur	símannvándur
barnverkir	sípína
barr	sískeinkistova
barsagdur	síbersøgin
barsil	sídópur
barsilsgáva	sígáva
barsilsneyð	sípína
barsilssong	síføðing
barsøgin	síbersøgin
barsøl	sídópur
bart	síbart út,uppfiskaður
bartrog	síóflýggjakroppur
bart út	beint fram, út;beint upp í eyguni (á e-m);stutt og greitt;sum tað er(bart)avgjørt,bums,tvørt↔beinleiðis,einans,júst,lúkst
barur	síeinskærur,oyðin,sørur
barva	sídrekka,fáa
basa	sísigra
