samvitskuspurningur	Samheiti:álitisspurningur,heiðursmálein spurningur um æru;mál ið leikar eins æru á↔ábyrgdarkensla,halda orð,heiðurligur,nærlagdur,sjálvsagi,trúgvur
samvorðin	sílíkur
samvorðinskapur	sílíkskapur
samvørgur	sílíkur
samyrki	sífelagsskapur
samætlan	síendamál,skrá
sanatorium	síbygningur
sanda	sístroya
sandarvi	síillgras
sandasor	sísmildur
sandasorl	sísmildur
sandbakki	síbotnur,strond
sandbátur	sísjófar
sandblása	sívaska
sandblástur	sívasking
sandbotnur	síbotnur
sandbrot	sísjóvarilska
sandbyggkorn	sígrót
sanddeild	síjarðarstykki
sandepli	síepli
sandeyga	sífiskileið,torveyga
sandflundra	sífiskur
sandfløta	síjarðarstykki
sandgarður	sígarður
sandgruður	síbotnur,fiskileið
sandgrunn	síbotnur,fiskileið
sandgrunnur	síbotnur,fiskileið
sandgrynna	sísker
sandgrýti	sígrót
sandgrýtutur	síoyðin
sandgrælingur	sífuglur
sandheyggjur	sífjall
sandheygur	sífjall
sandjørð	símold
sandker	sídalur
sandkorn	sígrót
sandkyrra	sígóðveður
sandlok	sífiskur
sandmold	símold
sandoddi	síáarmunni,nes
sandoyardansur	sídansur
sandoyða	síoyðistaður
sandoyðimørk	síoyðistaður
sandoyri	síáarmunni,nes
sandra	sístroya
sandrast	síspjaðast
sandriv	sísker
sandrok	sírokilsi
sandrók	sírók
sandryggur	sífjall,sker
sandsekkur	síposi
sandskorn	sígrót
sandskruv	síjarðarstykki
sandskúraður	síreinur
sandskøta	sífiskur
sandslúkur	sísjófar
sandsprek	sífiskur
sandsprøka	sífiskur
sandsteinur	sígrót
sandstroya	sístroya
sandstroyddur	Samheiti:eyrborinlagdur við eyri
sandstubbi	sífiskur
sandsúgvari	sísjófar
sandtangi	sínes
sandtari	sítari
sandtorv	síbrenni
sandur	sígrót,oyðistaður
sandutur	síoyðin,skitin
sangari	Samheiti:basssangari,bassur,fólkasangari,jarðsangari,kórsangari,kvæðakempa,kvæðari,kvøðari,messari,messi,operusangari,poppsangari,sangarinna,songari,songfuglur,songkona,songkvinna,songmaður,sopran,sopranur,syngjari,tenorsangari,tenorur,vísusangari(forsangari)skipari(kór)barnakór,brummikór,dreingjakór,dupultkór,gentukór,kirkjukór,kvinnukór,manskór,poppbólkur,rokkbólkur,sangkór,songbólkur,songkór,streingjakór,tríbólkur,útvarpskórfer-, fjór-, fýr-, trí-, tveyraddað kór;fleirraddað kór↔rødd,sangur,synging,syngja
sangarinna	sísangari
sangbiti	sígómi
sangbók	sískriv
sangkór	sísangari
sangtonn	sítonn
sangur	sísyngingSamheiti:ástarljóð,einsongur,gleðiljóð,jólasongur,landaplága,ljóð,lovsongur,songur,sorgarljóð,sorgarsongur,tjóðsangur,tjóðsongur,tvísongur,urnikvæði,urnisongur,veitslusangur(kvæði)ástarkvæði,dansikvæði,drápa,drottkvæði,dróttkvæði,dygdarkvæði,eddukvæði,fornkvæði,frásøgukvæði,gudakvæði,hetjukvæði,kappakvæði,lovkvæði,riddarakvæði,sorgarkvæði,sorgarljóð,tjóðkvæði,tjóðskaparkvæði(sálmur)altarsálmur,borðsálmur,brúðarsálmur,deyðsmanssálmur,farsálmur,gravarsálmur,gravsálmur,gravsongur,jólasálmur,kvøldsálmur,líksálmur,lovsálmur,lovsongur,morgunsálmur,sjóferðarsálmur,sjósálmur,takkarsálmur,takkarsongur,útferðarsálmur(vísa)barnaríma,barnaskjaldur,broysa,brúðarvísa,gamanstáttur,grindavísa,jólavísa,kempuvísa,rím,ríma,skemdartáttur,skemtingarrím,skemtitáttur,skjaldur,táttur,teiti,vøgguljóð,vøgguvísa(yrking)afturatyrking,ástaryrking,eftiryrking,enduryrking,forljóð,frásøguyrking,høvisyrking,nútíðaryrking,poesiur,prosa,prosayrking,rímbræv,sonetta,songtekstur,tilburðaryrking,tjóðskaparyrking,umyrkingbundið mál, á bundnum máli;óbundið mál, á óbundnum máli(ørindi)endaørindi,kappaørindi,kempuørindi,kvæðaørindi,kvøldvers,nálavers,niðurlag,pottaørindi,sálmavers,sálmaørindi,smáørindi,stev,tarvavers,tarvaørindi,táttaørindi,tvíregluørindi,vers,viðgangur,viðurgangur,ørindisregla↔orkestur,rithøvundur,sangari,skald,skriva,synging,syngja,tónalag,tungumál,yrkja
sank	síavlop,køstatøð
sanka	sísamla
sanktøð	síkøstatøð
sankutøð	síkøstatøð
sanna	síásanna
sannan	síváttan
sanndroymdur	sídroyma,spáa
sanndroymin	sídroyma,spáa
sannferðigur	síheiðurligur
sannferðiliga	sínevniliga
sannføra	sínoyða,prógva
sannførdur	sívissur
sannføri	sísannføring,trúskapur
